group;water;eggs;fertilisation
1;0.0638;6.4342;97
1;0.0635;6.4322;97
1;0.0637;6.4298;97
1;0.0645;11.483;97
1;0.0652;11.4875;97
1;0.0651;11.4819;97
1;0.0649;24.7564;97
1;0.0648;24.7695;97
1;0.0646;24.7513;97
1;0.0639;20.3298;97
1;0.0638;20.3325;97
1;0.0637;20.3271;97
1;0.0642;1.0929;97
1;0.0641;1.0911;97
1;0.0644;1.0926;97
2;0.1099;5.9069;95
2;0.1095;5.9128;95
2;0.1093;5.9045;95
2;0.1089;16.5885;95
2;0.1088;16.5963;95
2;0.1087;16.5874;95
2;0.1086;52.4587;95
2;0.1085;52.4685;95
2;0.1081;52.4509;95
2;0.1098;10.5674;95
2;0.1098;10.6612;95
2;0.1099;10.4528;95
2;0.1096;9.2451;95
2;0.1094;9.2536;95
2;0.1098;9.2455;95
3;0.128;7.7554;10
3;0.126;7.7649;10
3;0.127;7.7408;10
3;0.1281;46.8095;10
3;0.1282;46.8126;10
3;0.1283;46.7815;10
3;0.1261;8.066;10
3;0.1262;8.0681;10
3;0.1263;8.0622;10
3;0.1271;7.9842;10
3;0.126;7.9841;10
3;0.1251;7.9826;10
3;0.1245;12.9725;10
3;0.1241;12.9754;10
3;0.1243;12.9739;10
4;0.1262;14.7317;2
4;0.1261;14.7495;2
4;0.1259;14.7345;2
4;0.1256;2.7561;2
4;0.1255;2.7647;2
4;0.1261;2.7548;2
4;0.1261;8.08;2
4;0.1263;8.0841;2
4;0.1264;8.0822;2
4;0.1261;5.1137;2
4;0.1263;5.1207;2
4;0.1262;5.1193;2
4;0.1259;4.0909;2
4;0.1258;4.0911;2
4;0.126;4.0912;2
;;;
;;;
